(5, 6, 5)%1%0,5
25%(0, 1, 0)%0%3%0%1,5%0%0
26%(0, 1, 1)%0%3%0%1,5%0%0
27%(0, 1, 2)%0%3%0%1,5%0%0
28%(0, 1, 3)%0%3%0%1,5%0%0
29%(0, 1, 4)%0%3%0%1,5%0%0
30%(1, 1, 0)%0%3%0%1,5%0%0
31%(1, 1, 1)%0%3%0%1,5%0%0
32%(1, 1, 2)%0%3%0%1,5%0%0
33%(1, 1, 3)%0%3%0%1,5%0%0
34%(1, 1, 4)%0%3%0%1,5%0%0
35%(2, 1, 0)%0%3%0%1,5%0%0
36%(2, 1, 1)%0%3%0%1,5%0%0
37%(2, 1, 2)%0%3%0%1,5%0%0
38%(2, 1, 3)%0%3%0%1,5%0%0
39%(2, 1, 4)%0%3%0%1,5%0%0
40%(3, 1, 0)%0%3%0%1,5%0%0
41%(3, 1, 1)%0%3%0%1,5%0%0
42%(3, 1, 2)%0%3%0%1,5%0%0
43%(3, 1, 3)%0%3%0%1,5%0%0
44%(3, 1, 4)%0%3%0%1,5%0%0
45%(4, 1, 0)%0%3%0%1,5%0%0
46%(4, 1, 1)%0%3%0%1,5%0%0
47%(4, 1, 2)%0%3%0%1,5%0%0
48%(4, 1, 3)%0%3%0%1,5%0%0
49%(4, 1, 4)%0%3%0%1,5%0%0
